NDO;Fecha de Venta;Fecha de Vuelo;Region POC;Clase;Neto;NS
278;30/03/2022;02/01/2023;AMERICA;N;1;77
268;09/04/2022;02/01/2023;AMERICA;P;0;77
257;20/04/2022;02/01/2023;AMERICA;A;1;77
253;24/04/2022;02/01/2023;AMERICA;A;-1;77
235;12/05/2022;02/01/2023;AMERICA;A;1;77
214;02/06/2022;02/01/2023;AMERICA;E;1;77
211;05/06/2022;02/01/2023;AMERICA;T;2;77
209;07/06/2022;02/01/2023;AMERICA;T;0;77
207;09/06/2022;02/01/2023;AMERICA;T;2;77
207;09/06/2022;02/01/2023;AMERICA;E;-1;77
206;10/06/2022;02/01/2023;AMERICA;T;1;77
192;24/06/2022;02/01/2023;AMERICA;P;0;77
191;25/06/2022;02/01/2023;AMERICA;P;1;77
189;27/06/2022;02/01/2023;AMERICA;P;0;77
185;01/07/2022;02/01/2023;AMERICA;P;-1;77
182;04/07/2022;02/01/2023;AMERICA;Q;1;77
182;04/07/2022;02/01/2023;AMERICA;P;1;77
164;22/07/2022;02/01/2023;ESPANA;N;2;77
162;24/07/2022;02/01/2023;AMERICA;A;1;77
160;26/07/2022;02/01/2023;AMERICA;N;3;77
160;26/07/2022;02/01/2023;AMERICA;A;0;77
159;27/07/2022;02/01/2023;AMERICA;N;0;77
158;28/07/2022;02/01/2023;AMERICA;N;3;77
158;28/07/2022;02/01/2023;ESPANA;R;2;77
158;28/07/2022;02/01/2023;ESPANA;N;0;77
157;29/07/2022;02/01/2023;AMERICA;N;0;77
157;29/07/2022;02/01/2023;ESPANA;N;1;77
155;31/07/2022;02/01/2023;AMERICA;N;-2;77
154;01/08/2022;02/01/2023;AMERICA;N;0;77
154;01/08/2022;02/01/2023;ESPANA;N;1;77
153;02/08/2022;02/01/2023;ESPANA;A;0;77
151;04/08/2022;02/01/2023;AMERICA;N;3;77
151;04/08/2022;02/01/2023;AMERICA;A;2;77
151;04/08/2022;02/01/2023;ESPANA;N;1;77
150;05/08/2022;02/01/2023;AMERICA;N;1;77
149;06/08/2022;02/01/2023;AMERICA;N;3;77
149;06/08/2022;02/01/2023;AMERICA;A;0;77
148;07/08/2022;02/01/2023;AMERICA;A;3;77
148;07/08/2022;02/01/2023;AMERICA;N;-2;77
147;08/08/2022;02/01/2023;AMERICA;A;2;77
146;09/08/2022;02/01/2023;AMERICA;N;-2;77
145;10/08/2022;02/01/2023;AMERICA;A;1;77
144;11/08/2022;02/01/2023;AMERICA;A;0;77
144;11/08/2022;02/01/2023;ESPANA;A;3;77
143;12/08/2022;02/01/2023;AMERICA;A;0;77
142;13/08/2022;02/01/2023;AMERICA;A;-4;77
142;13/08/2022;02/01/2023;ESPANA;A;0;77
141;14/08/2022;02/01/2023;AMERICA;A;6;77
140;15/08/2022;02/01/2023;AMERICA;A;0;77
140;15/08/2022;02/01/2023;ESPANA;N;-1;77
139;16/08/2022;02/01/2023;AMERICA;A;2;77
138;17/08/2022;02/01/2023;AMERICA;A;1;77
137;18/08/2022;02/01/2023;AMERICA;A;0;77
137;18/08/2022;02/01/2023;ESPANA;A;2;77
136;19/08/2022;02/01/2023;AMERICA;A;0;77
135;20/08/2022;02/01/2023;AMERICA;A;4;77
135;20/08/2022;02/01/2023;ESPANA;V;0;77
134;21/08/2022;02/01/2023;ESPANA;P;1;77
133;22/08/2022;02/01/2023;AMERICA;A;5;77
133;22/08/2022;02/01/2023;AMERICA;Q;0;77
132;23/08/2022;02/01/2023;AMERICA;A;6;77
131;24/08/2022;02/01/2023;AMERICA;A;1;77
131;24/08/2022;02/01/2023;AMERICA;P;0;77
131;24/08/2022;02/01/2023;ESPANA;A;0;77
130;25/08/2022;02/01/2023;AMERICA;A;2;77
129;26/08/2022;02/01/2023;AMERICA;A;-1;77
129;26/08/2022;02/01/2023;ESPANA;Q;0;77
